1,flp,224,-282,-712
1,flp,219,-344,-922
1,flp,212,-435,-1202
1,flp,228,-422,-1326
1,flp,263,-358,-1410
1,flp,247,-272,-1400
1,flp,220,-165,-1386
1,flp,196,-87,-1402
1,flp,134,61,-1517
1,flp,94,225,-1608
1,flp,80,426,-1845
1,flp,65,539,-1997
1,flp,22,586,-1997
1,flp,-58,594,-1997
1,flp,-138,504,-1997
1,flp,-234,343,-1997
1,flp,-314,185,-1997
1,flp,-420,43,-1997
1,flp,-558,-79,-1997
1,flp,-797,-139,-1997
1,flp,-915,-76,-1997
1,flp,-1077,-47,-1997
1,flp,-1276,-8,-1997
1,flp,-1455,77,-1800
1,flp,-1750,59,-952
1,flp,-1835,-14,-732
1,flp,-1928,0,-550
1,flp,-1977,18,-361
1,flp,-1997,16,-200
1,flp,-1997,11,-45
1,flp,-1997,58,465
1,flp,-1997,189,899
1,flp,-1980,232,1327
1,flp,-1792,87,1750
1,flp,-1388,-78,1998
1,flp,-1063,-242,1998
1,flp,-585,-183,1998
1,flp,-507,-13,1998
1,flp,-532,186,1998
1,flp,-566,397,1858
1,flp,-573,557,1655
1,flp,-527,590,1957
1,flp,-518,500,1998
1,flp,-465,428,1998
1,flp,-356,387,1998
1,flp,-325,375,1998
1,flp,-366,332,1998
1,flp,-784,198,1998
1,flp,-1002,190,1998
1,flp,-1221,253,1998
1,flp,-1431,379,1998
1,flp,-1663,453,1998
1,flp,-1997,568,1881
1,flp,-1997,537,1501
1,flp,-1997,496,1048
1,flp,-1997,429,615
1,flp,-1997,309,295
1,flp,-1929,200,-20
1,flp,-1857,-90,-255
1,flp,-1711,-2,-567
1,flp,-1620,162,-685
1,flp,-1505,112,-915
1,flp,-1373,37,-1149
1,flp,-1036,-70,-1515
1,flp,-925,-314,-1771
1,flp,-854,-457,-1992
1,flp,-747,-445,-1997
1,flp,-539,-290,-1997
1,flp,-336,-136,-1997
1,flp,-228,89,-1997
1,flp,-175,211,-1997
1,flp,-149,313,-1997
1,flp,-122,383,-1997
1,flp,-147,391,-1997
1,flp,-158,325,-1997
1,flp,-141,183,-1997
1,flp,-189,147,-1997
1,flp,-256,172,-1997
1,flp,-342,221,-1997
1,flp,-496,199,-1997
1,flp,-854,159,-1948
1,flp,-1040,134,-1592
1,flp,-1184,135,-1338
1,flp,-1387,113,-1202
1,flp,-1573,89,-1123
1,flp,-1771,102,-912
1,flp,-1997,120,-359
1,flp,-1997,163,-254
1,flp,-1997,120,-125
1,flp,-1997,181,278
1,flp,-1997,290,728
1,flp,-1997,559,1508
1,flp,-1984,570,1836
1,flp,-1725,354,1998
1,flp,-1385,-26,1998
1,flp,-1049,-263,1998
1,flp,-872,-252,1998
1,flp,-760,-22,1998
1,flp,-795,202,1998
1,flp,-794,406,1998
1,flp,-783,513,1998
1,flp,-777,530,1998
1,flp,-769,498,1998
1,flp,-777,409,1998
1,flp,-765,436,1998
1,flp,-778,466,1998
1,flp,-791,458,1998
1,flp,-812,420,1998
1,flp,-1156,322,1998
1,flp,-1448,302,1998
1,flp,-1652,276,1998
1,flp,-1798,274,1998
1,flp,-1889,347,1829
1,flp,-1971,355,1604
1,flp,-1997,452,1004
1,flp,-1997,469,685
1,flp,-1997,405,515
1,flp,-1997,369,290
1,flp,-1997,319,37
1,flp,-1935,223,-550
1,flp,-1804,195,-816
1,flp,-1629,129,-1052
1,flp,-1451,155,-1280
1,flp,-1323,291,-1606
1,flp,-1109,361,-1952
1,flp,-725,231,-1997
1,flp,-546,136,-1997
1,flp,-417,138,-1997
1,flp,-315,234,-1997
1,flp,-226,326,-1997
1,flp,-197,394,-1997
1,flp,-187,364,-1997
1,flp,-184,300,-1997
1,flp,-170,247,-1997
1,flp,-155,209,-1997
1,flp,-149,171,-1997
1,flp,-188,171,-1997
1,flp,-271,118,-1997
1,flp,-378,39,-1997
1,flp,-579,101,-1997
1,flp,-823,122,-1996
1,flp,-1014,182,-1669
1,flp,-1237,271,-1057
1,flp,-1371,356,-942
1,flp,-1549,358,-725
1,flp,-1678,334,-480
1,flp,-1806,406,-310
1,flp,-1995,617,-128
1,flp,-1997,783,45
1,flp,-1997,855,237
1,flp,-1997,964,459
1,flp,-1997,1041,733
1,flp,-1997,971,1119
1,flp,-1923,253,1998
1,flp,-1590,-292,1998
1,flp,-1191,-506,1998
1,flp,-943,-358,1998
1,flp,-791,-264,1998
1,flp,-717,88,1998
1,flp,-719,294,1998
1,flp,-685,404,1909
1,flp,-664,472,1748
1,flp,-636,447,1732
1,flp,-614,390,1733
1,flp,-586,354,1609
1,flp,-510,360,1524
1,flp,-421,416,1493
1,flp,-327,469,1579
1,flp,-266,500,1762
1,flp,-240,542,1998
1,flp,-279,617,1998
1,flp,-305,710,1998
1,flp,-363,802,1998
1,flp,-460,819,1998
1,flp,-578,708,1998
1,flp,-936,571,1998
1,flp,-1184,500,1998
1,flp,-1521,401,1998
1,flp,-1923,325,1998
1,flp,-1997,280,1998
1,flp,-1997,147,1689
1,flp,-1997,-5,306
1,flp,-1997,34,-241
1,flp,-1997,154,-597
1,flp,-1805,189,-769
1,flp,-1529,178,-835
1,flp,-1238,259,-915
1,flp,-1180,378,-1105
1,flp,-1075,506,-1365
1,flp,-904,576,-1611
1,flp,-772,591,-1861
1,flp,-644,556,-1997
1,flp,-307,260,-1997
1,flp,-165,89,-1997
1,flp,-52,-37,-1997
1,flp,-7,-39,-1997
1,flp,-3,13,-1997
