>Please insert activity you are going to perform:
>Acquisition of [flp] letter
1,flp,399,3,-780,28.194
1,flp,408,19,-781,28.516
1,flp,409,36,-781,28.516
1,flp,406,40,-774,28.194
1,flp,408,8,-790,28.194
1,flp,404,-32,-812,27.549
1,flp,396,-67,-843,28.516
1,flp,392,-87,-871,28.516
1,flp,389,-49,-953,28.194
1,flp,398,-8,-1009,28.516
1,flp,405,35,-1072,28.516
1,flp,395,62,-1173,28.516
1,flp,391,37,-1294,28.194
1,flp,365,-55,-1548,28.516
1,flp,328,-85,-1665,28.194
1,flp,294,-103,-1791,28.516
1,flp,263,-123,-1935,27.872
1,flp,218,-133,-1997,27.872
1,flp,169,-121,-1997,28.516
1,flp,-28,-28,-1997,28.516
1,flp,0,-160,-1997,28.516
1,flp,-12,-278,-1997,28.516
1,flp,-129,-269,-1997,28.194
1,flp,-388,-173,-1997,28.194
1,flp,-754,5,-1775,28.839

1,flp,-832,-29,-1317,28.194
1,flp,-847,-106,-991,28.516
1,flp,-856,-167,-595,28.516
1,flp,-844,-226,-196,28.516
1,flp,-669,-299,356,28.516
1,flp,-492,-285,570,28.516
1,flp,-338,-177,646,28.194
1,flp,-223,-35,562,28.194
1,flp,-130,69,397,28.194
1,flp,-75,113,231,28.516
1,flp,-147,85,92,29.161
1,flp,-210,26,206,28.194
1,flp,-248,13,401,28.516
1,flp,-295,23,628,27.872
1,flp,-290,44,828,28.516
1,flp,-231,73,1143,28.839
1,flp,-169,83,1289,27.872
1,flp,-136,132,1434,28.194
1,flp,-97,171,1564,28.194
1,flp,-56,175,1628,28.516
1,flp,85,174,1546,28.839
1,flp,111,209,1434,28.516
1,flp,92,240,1329,28.516
1,flp,43,248,1256,28.516
1,flp,0,215,1282,28.194
1,flp,-46,193,1407,28.839
1,flp,-161,119,1787,28.194
1,flp,-192,47,1949,28.839
1,flp,-209,-19,1998,27.227
1,flp,-274,-50,1998,27.872
1,flp,-312,-68,1998,28.194
1,flp,-357,-1,1998,28.516
1,flp,-382,62,1998,27.872
1,flp,-419,100,1998,28.839
1,flp,-432,104,1998,28.516
1,flp,-439,54,1998,28.194
1,flp,-453,-35,1909,28.194
1,flp,-455,-16,1792,28.194
1,flp,-493,41,1703,28.194
1,flp,-548,102,1629,28.194
1,flp,-624,158,1526,28.839
1,flp,-713,161,1388,28.516
1,flp,-795,76,1047,28.194
1,flp,-817,53,843,28.516
1,flp,-846,57,668,28.194
1,flp,-917,75,562,28.194
1,flp,-997,65,523,28.194
1,flp,-1164,-173,178,27.872
1,flp,-1170,-405,-47,28.194
1,flp,-1070,-544,-363,27.872
1,flp,-973,-494,-592,27.872
1,flp,-905,-321,-719,28.194
1,flp,-892,11,-918,28.839

1,flp,-855,-65,-986,28.194
1,flp,-783,-221,-1043,27.872
1,flp,-730,-322,-1088,27.872
1,flp,-762,-357,-1130,27.872
1,flp,-807,-401,-1230,28.516
1,flp,-788,-570,-1620,28.516
1,flp,-754,-642,-1874,27.227
1,flp,-700,-694,-1997,28.839
1,flp,-613,-713,-1997,28.194
1,flp,-521,-695,-1997,28.516
1,flp,-422,-567,-1997,28.194
1,flp,-386,-510,-1997,28.516
1,flp,-320,-501,-1997,28.194
1,flp,-258,-523,-1997,28.194
1,flp,-262,-527,-1997,28.516
1,flp,-294,-507,-1997,28.194
1,flp,-274,-515,-1997,28.516
1,flp,-257,-530,-1997,28.194
1,flp,-258,-521,-1997,28.194
1,flp,-283,-485,-1997,28.194
1,flp,-332,-462,-1997,28.839
1,flp,-382,-472,-1997,28.194
1,flp,-428,-403,-1994,27.872
1,flp,-501,-292,-1921,28.516
1,flp,-592,-182,-1857,28.194
1,flp,-692,-135,-1788,28.194
1,flp,-912,-152,-1445,28.839
1,flp,-1055,-205,-1182,28.516
