1,und,805,138,534
1,und,803,125,533
1,und,800,113,534
1,und,799,95,550
1,und,806,65,544
1,und,806,45,528
1,und,805,44,507
1,und,800,68,496
1,und,787,118,527
1,und,788,95,570
1,und,786,47,608
1,und,791,21,621
1,und,800,33,597
1,und,809,69,555
1,und,872,91,468
1,und,909,109,459
1,und,978,149,516
1,und,1059,218,620
1,und,1169,294,727
1,und,1463,387,909
1,und,1603,358,976
1,und,1701,225,1061
1,und,1765,53,1156
1,und,1797,-65,1255
1,und,1760,-67,1320
1,und,1596,110,1318
1,und,1483,169,1218
1,und,1377,198,1046
1,und,1277,204,826
1,und,1209,219,566
1,und,1207,235,369
1,und,1277,245,250
1,und,1278,237,415
1,und,1280,216,658
1,und,1253,132,848
1,und,1161,-10,923
1,und,940,-191,750
1,und,788,-163,624
1,und,676,-62,478
1,und,647,103,289
1,und,671,239,99
1,und,679,273,1
1,und,655,163,19
1,und,593,148,128
1,und,534,195,244
1,und,517,169,289
1,und,495,57,286
1,und,436,-115,196
1,und,412,-158,163
1,und,376,-173,140
1,und,316,-164,116
1,und,273,-164,84
1,und,184,-62,35
1,und,193,2,-116
1,und,144,-94,8
1,und,198,25,6
1,und,157,43,48
1,und,114,-35,76
1,und,198,34,-238
1,und,186,25,-200
1,und,194,-18,-80
1,und,251,-117,-69
1,und,220,-261,-177
1,und,281,-188,-227
1,und,380,-41,-245
1,und,410,107,-131
1,und,475,165,0
1,und,558,85,140
1,und,636,-48,251
1,und,655,-133,388
1,und,612,-137,411
1,und,581,-140,325
1,und,636,-16,103
1,und,611,113,-81
1,und,501,201,-200
1,und,442,180,-123
1,und,452,-50,49
1,und,455,-13,93
1,und,454,262,8
1,und,411,479,-25
1,und,371,514,11
1,und,445,105,276
1,und,451,-77,357
1,und,453,-207,509
1,und,439,-250,761
1,und,385,-163,895
1,und,496,388,585
1,und,622,337,561
1,und,718,80,716
1,und,854,-229,837
1,und,973,-480,921
1,und,1111,-507,1059
1,und,1310,-367,1562
1,und,1364,-160,1689
1,und,1457,-52,1532
1,und,1584,-142,1223
1,und,1688,-324,1040
1,und,1798,-419,1203
1,und,1793,-300,1406
1,und,1812,-122,1543
1,und,1855,-35,1496
1,und,1940,-105,1279
1,und,1971,-130,1186
1,und,1931,-129,1386
1,und,1880,-105,1529
1,und,1847,-77,1600
1,und,1812,-80,1586
1,und,1791,-126,1466
1,und,1749,-242,1044
1,und,1715,-209,832
1,und,1677,-153,703
1,und,1626,-107,608
1,und,1589,-90,490
1,und,1557,-165,390
1,und,1498,-367,295
1,und,1414,-291,368
1,und,1283,-47,503
1,und,1168,181,614
1,und,1081,267,692
1,und,1053,253,557
